timestamp,symbol,open,high,low,close,volume,VWAP,EMA_21,EMA_50,EMA_100,EMA_200,RSI_14,StochRSI_14,MACD,MACD_signal,MACD_hist,ATR_14,RVOL,Pivot,R1,S1,R2,S2
2025-08-06 08:00:00,AMD,165.04,166.18,162.25,164.95,18577821,164.46,164.95,164.95,164.95,164.95,,,0.0,0.0,0.0,,,,,,,
2025-08-06 09:00:00,AMD,164.95,165.0417,157.8,159.175,27051559,162.21440750100996,164.42499999999998,164.7235294117647,164.83564356435642,164.89253731343283,,,-0.4606837606837644,-0.09213675213675288,-0.3685470085470115,,,164.46,166.67000000000002,162.74,168.39000000000001,160.53
2025-08-06 10:00:00,AMD,159.19,163.03,158.88,162.7942,16514911,162.04264174130654,164.27674545454545,164.64786943483276,164.79521893931965,164.87165833518972,,,-0.52765726252224,-0.17924085421385033,-0.34841640830838966,,,160.67223333333334,163.54446666666666,156.30276666666668,167.91393333333332,153.43053333333336
2025-08-06 11:00:00,AMD,162.79,163.75,160.51,162.2203,13366951,162.0634341259491,164.08979586776857,164.55267063346676,164.74423044547174,164.8452766602127,,,-0.6198973877515641,-0.2673721609213931,-0.352525226830171,,,161.56806666666665,164.2561333333333,160.1061333333333,165.71806666666666,157.41806666666665
2025-08-06 12:00:00,AMD,162.22,163.93,162.05,163.225,8619446,162.16638911965472,164.01117806160778,164.50060511842887,164.71414667427428,164.8291545043897,,,-0.6049539258912944,-0.3348885139153734,-0.270065411975921,,,162.1601,163.8102,160.5702,165.4001,158.9201
2025-08-06 13:00:00,AMD,163.225,165.3,163.19,164.3104,9398016,162.3774440601793,164.03838005600707,164.49314609417675,164.7061516906253,164.82399276802764,,,-0.4997674081843684,-0.3678642927691724,-0.131903115415196,,,163.06833333333336,164.0866666666667,162.2066666666667,164.94833333333335,161.18833333333336
2025-08-06 14:00:00,AMD,164.3,164.32,162.561,163.1,9706093,162.46672091767726,163.95307277818824,164.43851291401296,164.67434670665253,164.80683861113184,,,-0.5082170890899818,-0.3959348520333343,-0.11228223705664747,,,164.2668,165.34359999999998,163.23359999999997,166.3768,162.15679999999998
2025-08-07 08:00:00,AMD,166.835,171.99,166.7,171.835,15200919,170.17499999999998,164.66961161653475,164.7285712311105,164.81614182137227,164.87677056524993,,,0.18776355509044151,-0.2791951706085791,0.46695872569902064,,,,,,,
2025-08-07 09:00:00,AMD,171.85,172.68,170.75,171.83,16496116,170.9964134146406,165.3205560150316,165.00705863381205,164.9550301021372,164.94595692778475,,,0.7305089195612595,-0.07725435257461141,0.807763272135871,,,170.17499999999998,173.64999999999998,168.35999999999996,175.465,164.88499999999996
2025-08-07 10:00:00,AMD,171.815,175.75,171.76,173.0,16195910,171.84417605233924,166.01868728639235,165.32050731483903,165.11433643674832,165.0260966598466,,,1.2407452145789932,0.1863455608561095,1.0543996537228837,,,171.75333333333333,172.75666666666666,170.82666666666665,173.68333333333334,169.82333333333332
2025-08-07 11:00:00,AMD,173.0,173.8,170.63,171.07,9340153,171.84240657527107,166.47789753308396,165.5459776162179,165.2322703686939,165.08623500153968,,,1.4724033350108243,0.4435571156870525,1.0288462193237717,,,173.50333333333333,175.24666666666667,171.25666666666666,177.49333333333334,169.51333333333332
