timestamp,symbol,open,high,low,close,volume,VWAP,EMA_21,EMA_50,EMA_100,EMA_200,RSI_14,StochRSI_14,MACD,MACD_signal,MACD_hist,ATR_14,RVOL,Pivot,R1,S1,R2,S2
2025-08-05 19:00:00,AMD,165.04,166.18,157.8,163.1,103234797,162.36,163.1,163.1,163.1,163.1,,,0.0,0.0,0.0,,,,,,,
2025-08-06 19:00:00,AMD,166.835,175.75,166.7,172.4,76064274,171.61666666666667,163.94545454545454,163.46470588235292,163.28415841584157,163.19253731343284,,,0.7418803418803748,0.14837606837607495,0.5935042735042998,,,,,,,
2025-08-07 19:00:00,AMD,174.04,176.48,170.52,172.78,52961739,173.26,164.74859504132232,163.83001153402537,163.4721948828546,163.28793495210516,,,1.3449845374632048,0.38769776219350094,0.9572867752697038,,,,,,,
2025-08-05 19:00:00,AMZN,214.68,222.65,213.7409,222.33,35343539,176.95197981023793,169.98326821938392,166.12412872876948,164.63769597428325,163.8754181864126,,,5.754881163205141,1.461134442395829,4.293746720809312,,,,,,,
2025-08-06 19:00:00,AMZN,221.0,226.22,220.82,223.175,27084670,185.2151570029646,174.81888019943992,168.3614177982295,165.79685050944596,164.46546377659755,,,9.211753093194346,3.0112581725555327,6.200494920638814,,,,,,,
2025-08-07 19:00:00,AMZN,223.14,223.8,221.8836,222.69,19498580,186.58850971434447,179.170800181309,170.49195043359305,166.92344752906087,165.0448123957359,,,11.776461835001356,4.764298905044698,7.012162929956658,,,162.36,166.92000000000002,158.54000000000002,170.74,153.98000000000002
2025-08-05 19:00:00,AVGO,293.21,302.81,291.9044,301.669,9292246,184.60860999190385,190.30700016482638,175.63614845580508,169.5916762908616,166.40425704851467,,,19.951963420918503,7.801831808219459,12.150131612699044,,,171.61666666666667,176.53333333333336,167.48333333333335,180.66666666666669,162.56666666666666
2025-08-06 19:00:00,AVGO,306.28,310.34,299.8807,303.86,8838947,194.6453134353395,200.63000014984215,180.66453479087156,172.25045497817126,167.77197588385283,,,26.30467875551551,11.502401197678669,14.802277557836842,,,173.26,175.99999999999997,170.04,179.21999999999997,167.3
2025-08-07 19:00:00,AVGO,304.05,307.87,302.5518,304.9,6765156,196.70896503138164,210.10909104531103,185.53651381868053,174.87717864196983,169.1364338352573,,,31.065071923584213,15.414935342859778,15.650136580724435,,,219.57363333333333,225.40636666666666,216.49726666666666,228.48273333333333,210.66453333333334
2025-08-05 19:00:00,AXP,297.21,298.05,294.435,295.22,1827921,185.96757425255504,217.8464464048282,189.8378270022617,177.2602048074754,170.39099668266766,,,33.668513044736784,19.06565088323518,14.602862161501605,,,223.40499999999997,225.98999999999995,220.58999999999995,228.80499999999998,218.00499999999997
2025-08-06 19:00:00,AXP,297.7,298.29,290.63,294.81,1496427,195.96302832103757,224.84313309529838,193.95438280609457,179.58792352415904,171.62899671567595,,,35.29185280581376,22.310891267750897,12.980961538062864,,,222.7912,223.6988,221.7824,224.7076,220.8748
2025-08-07 19:00:00,AXP,297.0,298.13,294.54,297.35,821980,197.73546501763153,231.43466645027124,198.00911289213008,181.91984583061134,172.8799519722364,,,36.36413492283063,25.121539998766846,11.242594924063784,,,298.79446666666666,305.6845333333333,294.7789333333333,309.70006666666666,287.8888666666667
2025-08-05 19:00:00,CEG,343.1,344.06,332.3,338.27,1285789,187.2640775759563,241.14696950024657,203.50953983753672,185.0158884874309,174.52562409191563,,,40.054109402854294,28.108053879584336,11.946055523269958,,,304.69356666666664,309.5064333333333,299.0471333333333,315.1528666666666,294.23426666666666
2025-08-06 19:00:00,CEG,335.26,345.25,322.0,336.34,1558676,197.84042220343844,249.8008813638605,208.71857749096665,188.01240554708573,176.1357173845334,92.34914107644522,,42.33469784842433,30.953382673352337,11.38131517507199,15.850318414721823,,305.1072666666667,307.6627333333334,302.3445333333334,310.4254666666667,299.7890666666667
2025-08-07 19:00:00,CEG,338.71,342.2,332.25,335.765,825167,199.15375191130317,257.6158012398732,213.70079013837972,190.9381994966484,177.72406845533405,91.90134556393181,,43.593168022606875,33.48133974320325,10.111828279403625,15.42886709938455,,295.9016666666667,297.3683333333334,293.7533333333334,299.5166666666667,292.2866666666667
2025-08-05 19:00:00,GOOGL,194.44,196.63,193.67,196.09,12825863,187.90605566972025,252.0225465817029,213.01017091726678,191.04021534819992,177.90681404284317,40.512365535363045,,32.94019544656632,33.37311088387587,-0.4329154373095463,24.476448020857084,,294.57666666666665,298.5233333333333,290.8633333333333,302.2366666666667,286.91666666666663
2025-08-06 19:00:00,GOOGL,197.06,197.54,194.33,196.56,16720405,197.6250663956458,246.98049689245718,212.3650661754132,191.1495180145722,178.09241788321287,40.632663852308994,,24.255955446003895,31.549679796301472,-7.293724350297577,22.95741601936729,,296.67333333333335,298.8066666666667,295.2166666666667,300.2633333333333,293.08333333333337
2025-08-07 19:00:00,GOOGL,197.24,202.61,197.17,201.44,25282477,199.45215291873322,242.84045172041562,211.93663220774997,191.35328993507574,178.32473213313116,41.94539613422062,,17.564930312275436,28.752729899496266,-11.18779958722083,21.749743446555343,,338.21,344.11999999999995,332.35999999999996,349.96999999999997,326.45
2025-08-05 19:00:00,HOOD,104.49,105.9,101.18,105.64,26231748,176.35751372272622,230.367683382196,207.7681368270539,189.65599706507422,177.60150096762737,28.58336816086502,,4.480338765197303,23.898251672636476,-19.417912907439174,27.35761891465853,,334.53,347.05999999999995,323.80999999999995,357.78,311.28
